18:09:43: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
18:09:46: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8050>
18:09:46: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8110>
18:09:46: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8050>
18:09:46: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8110>
18:09:46: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8050>
18:09:47: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8290>
18:09:47: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8050>
18:09:47: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8110>
18:09:47: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8290>
18:09:47: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8110>
18:09:48: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8050>
18:09:48: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002BB1C4F8110>
